customer,location,initial_date,transaction_date,amount
cust00727,22,2023-09-01,2023-09-01,39.0
cust00728,22,2023-09-01,2023-09-01,39.0
cust00744,22,2023-09-01,2023-09-01,39.0
cust00756,22,2023-10-01,2023-10-01,39.0
cust00760,22,2023-10-01,2023-10-01,39.0
cust00763,22,2023-10-01,2023-10-01,39.0
cust00764,22,2023-10-01,2023-10-01,39.0
cust00779,22,2023-10-01,2023-10-01,39.0
cust00799,22,2023-10-01,2023-10-01,39.0
cust00834,22,2023-06-01,2023-06-01,10.0
cust00848,22,2023-06-01,2023-06-01,19.99
cust00857,22,2023-06-01,2023-06-01,19.99
cust00858,22,2023-06-01,2023-06-01,19.99
cust00877,22,2023-06-01,2023-06-01,19.99
cust00881,22,2023-06-01,2023-06-01,19.99
cust00882,22,2023-06-01,2023-06-01,19.99
cust00892,22,2023-06-01,2023-06-01,10.0
cust00893,22,2023-02-01,2023-02-01,39.0
cust00917,22,2023-06-01,2023-06-01,10.0
cust00918,22,2023-06-01,2023-06-01,19.99
cust00921,22,2023-06-01,2023-06-01,19.99
cust00952,22,2023-06-01,2023-06-01,19.99
cust00955,22,2023-06-01,2023-06-01,10.0
cust00975,22,2023-12-01,2023-12-01,39.0
cust00978,22,2023-06-01,2023-06-01,19.99
cust00980,22,2023-12-01,2023-12-01,39.0
cust00995,22,2023-06-01,2023-06-01,10.0
cust01022,22,2023-06-01,2023-06-01,10.0
cust01034,22,2023-06-01,2023-06-01,10.0
cust01036,22,2023-06-01,2023-06-01,10.0
cust01065,22,2023-06-01,2023-06-01,10.0
cust01075,22,2023-06-01,2023-06-01,19.99
cust01085,22,2023-08-01,2023-08-01,19.99
cust01092,22,2023-06-01,2023-06-01,10.0
cust01095,22,2023-06-01,2023-06-01,19.99
cust01109,22,2023-12-01,2023-12-01,39.0
cust01118,22,2023-06-01,2023-06-01,19.99
cust01119,22,2023-06-01,2023-06-01,19.99
cust01122,22,2023-10-01,2023-10-01,39.0
cust01129,22,2023-10-01,2023-10-01,39.0
cust01140,22,2023-06-01,2023-06-01,19.99
cust01141,22,2023-10-01,2023-10-01,39.0
cust01147,22,2023-02-01,2023-02-01,19.99
cust01173,22,2023-06-01,2023-06-01,19.99
cust01182,22,2023-06-01,2023-06-01,19.99
cust01202,22,2023-06-01,2023-06-01,19.99
cust01207,22,2023-06-01,2023-06-01,19.99
cust01214,22,2023-06-01,2023-06-01,19.99
cust01215,22,2023-06-01,2023-06-01,19.99
cust01217,22,2023-10-01,2023-10-01,39.0
cust01218,22,2023-06-01,2023-06-01,19.99
cust01237,22,2023-06-01,2023-06-01,19.99
cust01239,22,2023-06-01,2023-06-01,19.99
cust01312,22,2023-10-01,2023-10-01,19.99
cust01319,22,2023-10-01,2023-10-01,10.0
cust01321,22,2023-06-01,2023-06-01,19.99
cust01330,22,2023-10-01,2023-10-01,19.99
cust01346,22,2023-12-01,2023-12-01,39.0
cust01353,22,2023-10-01,2023-10-01,19.99
cust01384,22,2023-10-01,2023-10-01,39.0
cust01397,22,2023-06-01,2023-06-01,39.0
cust01410,22,2023-08-01,2023-08-01,39.0
cust01434,22,2023-10-01,2023-10-01,19.99
cust01451,22,2023-10-01,2023-10-01,10.0
cust01458,22,2023-10-01,2023-10-01,10.0
cust01472,22,2023-10-01,2023-10-01,19.99
cust01474,22,2023-02-01,2023-02-01,39.0
cust01483,22,2023-10-01,2023-10-01,19.99
cust01492,22,2023-10-01,2023-10-01,19.99
cust01512,22,2023-10-01,2023-10-01,19.99
cust01515,22,2023-06-01,2023-06-01,10.0
cust01526,22,2023-10-01,2023-10-01,19.99
cust01533,22,2023-10-01,2023-10-01,19.99
cust01539,22,2023-03-01,2023-03-01,39.0
cust01556,22,2023-10-01,2023-10-01,19.99
cust01562,22,2023-10-01,2023-10-01,49.0
cust01573,22,2023-10-01,2023-10-01,49.0
cust01594,22,2023-10-01,2023-10-01,10.0
cust01684,22,2023-10-01,2023-10-01,10.0
cust01684,22,2023-09-01,2023-09-22,10.0
cust01684,22,2023-09-01,2023-09-17,10.0
cust01684,22,2023-09-01,2023-09-20,-10.0
cust01684,22,2023-09-01,2023-09-26,-10.0
cust01685,22,2023-10-01,2023-10-01,10.0
cust01697,22,2023-10-01,2023-10-01,10.0
cust01707,22,2023-10-01,2023-10-01,19.99
cust01710,22,2023-10-01,2023-10-01,10.0
cust01782,22,2023-10-01,2023-10-04,-19.99
cust01782,22,2023-10-01,2023-10-01,19.99
cust01782,22,2023-10-01,2023-10-06,19.99
cust01801,22,2023-10-01,2023-10-01,19.99
cust01803,22,2023-10-01,2023-10-01,19.99
cust01806,22,2023-10-01,2023-10-01,19.99
cust01841,22,2023-02-01,2023-02-01,19.99
cust01845,22,2023-10-01,2023-10-01,19.99
cust01853,22,2023-02-01,2023-02-01,39.0
cust01868,22,2023-10-01,2023-10-01,29.0
cust01872,22,2023-10-01,2023-10-01,19.99
cust01876,22,2023-10-01,2023-10-01,19.99
cust01885,22,2023-10-01,2023-10-01,19.99
cust01892,22,2023-10-01,2023-10-01,19.99
cust01909,22,2023-10-01,2023-10-01,19.99
cust01962,22,2023-10-01,2023-10-01,10.0
cust01969,22,2023-10-01,2023-10-01,10.0
cust01992,22,2023-10-01,2023-10-01,10.0
cust02027,22,2023-10-01,2023-10-01,10.0
cust02037,22,2023-10-01,2023-10-01,10.0
cust02038,22,2023-10-01,2023-10-01,10.0
cust02068,22,2023-10-01,2023-10-01,19.99
cust02070,22,2023-10-01,2023-10-01,29.0
cust02123,22,2023-10-01,2023-10-01,10.0
cust02129,22,2023-02-01,2023-02-01,10.0
cust02138,22,2023-10-01,2023-10-01,19.99
cust02143,22,2023-10-01,2023-10-01,10.0
cust02144,22,2023-10-01,2023-10-01,19.99
cust02146,22,2023-10-01,2023-10-01,10.0
cust02187,22,2023-10-01,2023-10-01,10.0
cust02188,22,2023-10-01,2023-10-01,10.0
cust02190,22,2023-10-01,2023-10-01,19.99
cust02224,22,2023-10-01,2023-10-01,19.99
cust02228,22,2023-10-01,2023-10-01,19.99
cust02240,22,2023-02-01,2023-02-01,39.0
cust02248,22,2023-02-01,2023-02-01,19.99
cust02264,22,2023-04-01,2023-04-01,19.99
cust02270,22,2023-10-01,2023-10-01,19.99
cust02274,22,2023-10-01,2023-10-01,19.99
cust02275,22,2023-10-01,2023-10-01,19.99
cust02309,22,2023-02-01,2023-02-01,19.99
cust02318,22,2023-10-01,2023-10-01,19.99
cust02327,22,2023-02-01,2023-02-01,19.99
cust02335,22,2023-10-01,2023-10-01,20.0
cust02336,22,2023-10-01,2023-10-01,20.0
cust02349,22,2023-10-01,2023-10-01,10.0
cust02378,22,2023-10-01,2023-10-01,10.0
cust02407,22,2023-02-01,2023-02-03,19.99
cust02420,22,2023-02-01,2023-02-01,19.99
cust02432,22,2023-02-01,2023-02-01,19.99
cust02438,22,2023-11-01,2023-11-01,39.0
cust02454,22,2023-02-01,2023-02-01,19.99
cust02463,22,2023-06-01,2023-06-01,10.0
cust02479,22,2023-06-01,2023-06-01,39.0
cust02507,22,2023-02-01,2023-02-01,19.99
cust02526,22,2023-02-01,2023-02-01,19.99
cust02540,22,2023-02-01,2023-02-01,19.99
cust02542,22,2023-02-01,2023-02-01,19.99
cust02543,22,2023-06-01,2023-06-01,39.0
cust02544,22,2023-06-01,2023-06-01,10.0
cust02549,22,2023-02-01,2023-02-01,19.99
cust02564,22,2023-01-01,2023-01-25,19.99
cust02564,22,2023-01-01,2023-01-20,-19.99
cust02564,22,2023-01-01,2023-01-17,19.99
cust02564,22,2023-01-01,2023-01-27,-19.99
cust02590,22,2023-02-01,2023-02-01,10.0
cust02611,22,2023-02-01,2023-02-01,10.0
cust02625,22,2023-02-01,2023-02-02,-19.99
cust02625,22,2023-02-01,2023-02-10,19.99
cust02625,22,2023-02-01,2023-02-01,19.99
cust02640,22,2023-02-01,2023-02-01,10.0
cust02654,22,2023-06-01,2023-06-01,19.99
cust02659,22,2023-02-01,2023-02-01,10.0
cust02668,22,2023-02-01,2023-02-01,19.99
cust02677,22,2023-02-01,2023-02-01,10.0
cust02678,22,2023-10-01,2023-10-01,39.0
cust02700,22,2023-02-01,2023-02-01,19.99
cust02707,22,2023-02-01,2023-02-01,19.99
cust02722,22,2023-02-01,2023-02-01,10.0
cust02738,22,2023-02-01,2023-02-01,39.0
cust02746,22,2023-11-01,2023-11-06,39.0
cust02752,22,2023-02-01,2023-02-01,10.0
cust02764,22,2023-02-01,2023-02-01,19.99
cust02813,22,2023-02-01,2023-02-01,10.0
cust02816,22,2023-02-01,2023-02-01,10.0
cust02817,22,2023-02-01,2023-02-01,10.0
cust02832,22,2023-02-01,2023-02-01,39.0
cust02852,22,2023-02-01,2023-02-01,19.99
cust02853,22,2023-02-01,2023-02-01,19.99
cust02856,22,2023-08-01,2023-08-01,39.0
cust02861,22,2023-06-01,2023-06-01,19.99
cust02907,22,2023-02-01,2023-02-01,15.0
cust02914,22,2023-02-01,2023-02-01,19.99
cust02919,22,2023-02-01,2023-02-01,10.0
cust02920,22,2023-02-01,2023-02-01,10.0
cust02935,22,2023-02-01,2023-02-01,19.99
cust02939,22,2023-02-01,2023-02-01,19.99
cust02945,22,2023-02-01,2023-02-01,10.0
cust02949,22,2023-02-01,2023-02-01,10.0
cust02963,22,2023-02-01,2023-02-01,19.99
cust02968,22,2023-02-01,2023-02-01,19.99
cust02971,22,2023-02-01,2023-02-01,19.99
cust02974,22,2023-02-01,2023-02-01,19.99
cust02982,22,2023-02-01,2023-02-01,19.99
cust03009,22,2023-02-01,2023-02-01,19.99
cust03056,22,2023-03-01,2023-03-01,19.99
cust03063,22,2023-02-01,2023-02-01,10.0
cust03064,22,2023-02-01,2023-02-01,19.99
cust03065,22,2023-02-01,2023-02-01,19.99
cust03066,22,2023-02-01,2023-02-01,19.99
cust03072,22,2023-02-01,2023-02-01,19.99
cust03074,22,2023-02-01,2023-02-01,19.99
cust03075,22,2023-02-01,2023-02-01,19.99
cust03079,22,2023-02-01,2023-02-01,19.99
cust03081,22,2023-02-01,2023-02-01,19.99
cust03095,22,2023-02-01,2023-02-01,19.99
cust03096,22,2023-02-01,2023-02-01,19.99
cust03124,22,2023-02-01,2023-02-01,19.99
cust03154,22,2023-02-01,2023-02-01,39.0
cust03157,22,2023-02-01,2023-02-01,10.0
cust03187,22,2023-02-01,2023-02-01,19.99
cust03192,22,2023-02-01,2023-02-01,19.99
cust03194,22,2023-06-01,2023-06-01,19.99
cust03203,22,2023-02-01,2023-02-01,39.0
cust03225,22,2023-06-01,2023-06-01,19.99
cust03249,22,2023-02-01,2023-02-01,19.99
cust03264,22,2023-02-01,2023-02-01,19.99
cust03276,22,2023-02-01,2023-02-01,19.99
cust03289,22,2023-02-01,2023-02-01,49.0
cust03310,22,2023-10-01,2023-10-01,10.0
cust03313,22,2023-06-01,2023-06-01,10.0
cust03320,22,2023-02-01,2023-02-01,19.99
cust03337,22,2023-02-01,2023-02-01,19.99
cust03351,22,2023-02-01,2023-02-01,19.99
cust03381,22,2023-02-01,2023-02-01,19.99
cust03388,22,2023-02-01,2023-02-01,19.99
cust03398,22,2023-02-01,2023-02-01,19.99
cust03412,22,2023-02-01,2023-02-01,19.99
cust03415,22,2023-06-01,2023-06-01,19.99
cust03430,22,2023-06-01,2023-06-01,10.0
cust03441,22,2023-02-01,2023-02-01,19.99
cust03469,22,2023-02-01,2023-02-01,19.99
cust03501,22,2023-02-01,2023-02-01,19.99
cust03526,22,2023-02-01,2023-02-01,19.99
cust03556,22,2023-06-01,2023-06-01,19.99
cust03565,22,2023-02-01,2023-02-01,39.0
cust03586,22,2023-02-01,2023-02-01,19.99
cust03590,22,2023-02-01,2023-02-01,19.99
cust03594,22,2023-02-01,2023-02-01,19.99
cust03605,22,2023-06-01,2023-06-01,19.99
cust03617,22,2023-02-01,2023-02-01,19.99
cust03639,22,2023-02-01,2023-02-01,19.99
cust03655,22,2023-02-01,2023-02-01,19.99
cust03659,22,2023-06-01,2023-06-01,19.99
cust03663,22,2023-02-01,2023-02-01,19.99
cust03667,22,2023-05-01,2023-05-01,39.0
cust03696,22,2023-02-01,2023-02-01,19.99
cust03715,22,2023-06-01,2023-06-01,19.99
cust03726,22,2023-02-01,2023-02-01,19.99
cust03731,22,2023-02-01,2023-02-01,19.99
cust03732,22,2023-03-01,2023-03-01,39.0
cust03760,22,2023-02-01,2023-02-01,39.0
cust03765,22,2023-06-01,2023-06-01,19.99
cust03766,22,2023-02-01,2023-02-01,19.99
cust03771,22,2023-02-01,2023-02-01,19.99
cust03776,22,2023-02-01,2023-02-01,19.99
cust03802,22,2023-06-01,2023-06-01,19.99
cust03809,22,2023-06-01,2023-06-01,39.0
cust03832,22,2023-06-01,2023-06-01,19.99
cust03841,22,2023-06-01,2023-06-01,39.0
cust03857,22,2023-06-01,2023-06-01,19.99
cust03876,22,2023-06-01,2023-06-01,19.99
cust03879,22,2023-06-01,2023-06-01,19.99
cust03900,22,2023-06-01,2023-06-01,19.99
cust03903,22,2023-06-01,2023-06-01,19.99
cust03923,22,2023-06-01,2023-06-01,19.99
cust03936,22,2023-06-01,2023-06-01,19.99
cust03947,22,2023-06-01,2023-06-01,19.99
cust03953,22,2023-08-01,2023-08-01,39.0
cust03957,22,2023-06-01,2023-06-01,19.99
cust03963,22,2023-06-01,2023-06-01,19.99
cust03989,22,2023-02-01,2023-02-01,39.0
cust03995,22,2023-06-01,2023-06-01,19.99
cust04003,22,2023-06-01,2023-06-01,19.99
cust04007,22,2023-06-01,2023-06-01,19.99
cust04011,22,2023-06-01,2023-06-01,19.99
cust04019,22,2023-06-01,2023-06-01,19.99
cust04040,22,2023-06-01,2023-06-01,19.99
cust04085,22,2023-06-01,2023-06-01,19.99
cust04102,22,2023-06-01,2023-06-01,19.99
cust04107,22,2023-06-01,2023-06-01,10.0
cust04108,22,2023-06-01,2023-06-01,10.0
cust04111,22,2023-06-01,2023-06-01,19.99
cust04117,22,2023-06-01,2023-06-01,19.99
cust04121,22,2023-06-01,2023-06-01,19.99
cust04124,22,2023-06-01,2023-06-01,19.99
cust04148,22,2023-06-01,2023-06-01,19.99
cust04149,22,2023-06-01,2023-06-01,19.99
cust04163,22,2023-02-01,2023-02-01,39.0
cust04181,22,2023-02-01,2023-02-01,19.99
cust04192,22,2023-06-01,2023-06-01,19.99
cust04193,22,2023-06-01,2023-06-01,19.99
cust04208,22,2023-06-01,2023-06-01,19.99
cust04216,22,2023-06-01,2023-06-01,19.99
cust04226,22,2023-06-01,2023-06-01,19.99
cust04253,22,2023-06-01,2023-06-01,19.99
cust04258,22,2023-06-01,2023-06-01,19.99
cust04264,22,2023-06-01,2023-06-01,19.99
cust04294,22,2023-06-01,2023-06-01,19.99
cust04298,22,2023-06-01,2023-06-01,19.99
cust04311,22,2023-06-01,2023-06-01,19.99
cust04325,22,2023-06-01,2023-06-01,19.99
cust04333,22,2023-06-01,2023-06-01,19.99
cust04335,22,2023-06-01,2023-06-01,19.99
cust04346,22,2023-06-01,2023-06-01,19.99
cust04352,22,2023-06-01,2023-06-01,19.99
cust04354,22,2023-06-01,2023-06-01,19.99
cust04374,22,2023-06-01,2023-06-01,19.99
cust04415,22,2023-06-01,2023-06-01,19.99
cust04423,22,2023-06-01,2023-06-01,19.99
cust04424,22,2023-06-01,2023-06-01,19.99
cust04441,22,2023-06-01,2023-06-01,19.99
cust04452,22,2023-06-01,2023-06-01,19.99
cust04456,22,2023-02-01,2023-02-01,19.99
cust04458,22,2023-06-01,2023-06-01,19.99
cust04478,22,2023-06-01,2023-06-01,19.99
cust04503,22,2023-03-01,2023-03-01,39.0
cust04504,22,2023-04-01,2023-04-01,19.99
cust04513,22,2023-06-01,2023-06-01,19.99
cust04523,22,2023-06-01,2023-06-01,19.99
cust04535,22,2023-10-01,2023-10-01,39.0
cust04543,22,2023-06-01,2023-06-01,19.99
cust04548,22,2023-06-01,2023-06-01,19.99
cust04567,22,2023-06-01,2023-06-01,19.99
cust04576,22,2023-02-01,2023-02-01,39.0
cust04585,22,2023-06-01,2023-06-01,19.99
cust04607,22,2023-06-01,2023-06-01,19.99
cust04608,22,2023-06-01,2023-06-01,19.99
cust04625,22,2023-10-01,2023-10-01,39.0
cust04643,22,2023-06-01,2023-06-01,19.99
cust04652,22,2023-06-01,2023-06-01,19.99
cust04653,22,2023-06-01,2023-06-01,19.99
cust04661,22,2023-06-01,2023-06-01,19.99
cust04679,22,2023-06-01,2023-06-01,19.99
cust04682,22,2023-06-01,2023-06-01,19.99
cust04724,22,2023-06-01,2023-06-01,19.99
cust04742,22,2023-06-01,2023-06-01,19.99
cust04744,22,2023-03-01,2023-03-01,39.0
cust04745,22,2023-06-01,2023-06-01,19.99
cust04751,22,2023-10-01,2023-10-01,10.0
cust04771,22,2023-06-01,2023-06-01,19.99
cust04820,22,2023-06-01,2023-06-01,19.99
cust04855,22,2023-06-01,2023-06-01,49.0
cust04856,22,2023-10-01,2023-10-01,10.0
cust04869,22,2023-06-01,2023-06-01,19.99
cust04874,22,2023-05-01,2023-05-01,39.0
cust04880,22,2023-06-01,2023-06-01,19.99
cust04888,22,2023-06-01,2023-06-01,19.99
cust04889,22,2023-09-01,2023-09-01,39.0
cust04906,22,2023-06-01,2023-06-01,19.99
cust04918,22,2023-06-01,2023-06-01,19.99
cust04930,22,2023-06-01,2023-06-01,19.99
cust04940,22,2023-06-01,2023-06-01,19.99
cust04941,22,2023-06-01,2023-06-01,19.99
cust04966,22,2023-06-01,2023-06-01,19.99
cust04971,22,2023-06-01,2023-06-01,19.99
cust04974,22,2023-06-01,2023-06-01,19.99
cust04975,22,2023-06-01,2023-06-01,19.99
cust04984,22,2023-06-01,2023-06-01,39.0
cust04995,22,2023-02-01,2023-02-01,19.99
cust05001,22,2023-06-01,2023-06-01,19.99
cust05032,22,2023-06-01,2023-06-01,19.99
cust05037,22,2023-06-01,2023-06-01,19.99
cust05043,22,2023-06-01,2023-06-01,19.99
cust05045,22,2023-06-01,2023-06-01,19.99
cust05058,22,2023-06-01,2023-06-01,19.99
cust05065,22,2023-06-01,2023-06-01,19.99
cust05073,22,2023-10-01,2023-10-01,19.99
cust05093,22,2023-06-01,2023-06-01,19.99
cust05094,22,2023-06-01,2023-06-01,19.99
cust05100,22,2023-02-01,2023-02-01,39.0
cust05107,22,2023-06-01,2023-06-01,19.99
cust05115,22,2023-06-01,2023-06-01,19.99
cust05129,22,2023-02-01,2023-02-01,19.99
cust05133,22,2023-06-01,2023-06-01,19.99
cust05144,22,2023-06-01,2023-06-01,39.0
cust05151,22,2023-06-01,2023-06-01,19.99
cust05160,22,2023-10-01,2023-10-01,19.99
cust05164,22,2023-06-01,2023-06-01,19.99
cust05182,22,2023-10-01,2023-10-01,39.0
cust05183,22,2023-10-01,2023-10-01,39.0
cust05231,22,2023-06-01,2023-06-01,19.99
cust05237,22,2023-06-01,2023-06-01,19.99
cust05238,22,2023-06-01,2023-06-06,19.99
cust05240,22,2023-07-01,2023-07-01,49.0
cust05242,22,2023-06-01,2023-06-01,19.99
cust05252,22,2023-06-01,2023-06-01,19.99
cust05265,22,2023-06-01,2023-06-01,19.99
cust05267,22,2023-08-01,2023-08-01,39.0
cust05283,22,2023-09-01,2023-09-01,19.99
cust05287,22,2023-06-01,2023-06-01,19.99
cust05291,22,2023-06-01,2023-06-01,19.99
cust05314,22,2023-06-01,2023-06-01,19.99
cust05315,22,2023-06-01,2023-06-01,19.99
cust05322,22,2023-06-01,2023-06-01,19.99
cust05334,22,2023-06-01,2023-06-01,19.99
cust05346,22,2023-10-01,2023-10-01,39.0
cust05368,22,2023-04-01,2023-04-01,19.99
cust05401,22,2023-06-01,2023-06-01,19.99
cust05402,22,2023-06-01,2023-06-01,19.99
cust05406,22,2023-06-01,2023-06-01,19.99
cust05427,22,2023-10-01,2023-10-01,19.99
cust05448,22,2023-10-01,2023-10-01,39.0
cust05457,22,2023-06-01,2023-06-01,19.99
cust05479,22,2023-06-01,2023-06-01,39.0
cust05481,22,2023-06-01,2023-06-01,19.99
cust05484,22,2023-06-01,2023-06-01,39.0
cust05516,22,2023-06-01,2023-06-01,19.99
cust05517,22,2023-06-01,2023-06-01,19.99
cust05532,22,2023-06-01,2023-06-01,19.99
cust05533,22,2023-06-01,2023-06-01,19.99
cust05542,22,2023-06-01,2023-06-01,19.99
cust05553,22,2023-10-01,2023-10-01,19.99
cust05555,22,2023-10-01,2023-10-01,19.99
cust05582,22,2023-10-01,2023-10-01,19.99
cust05583,22,2023-06-01,2023-06-01,39.0
cust05584,22,2023-02-01,2023-02-01,39.0
cust05599,22,2023-10-01,2023-10-01,19.99
cust05614,22,2023-10-01,2023-10-01,19.99
cust05622,22,2023-10-01,2023-10-01,19.99
cust05664,22,2023-10-01,2023-10-01,19.99
cust05666,22,2023-10-01,2023-10-01,19.99
cust05676,22,2023-10-01,2023-10-01,19.99
cust05679,22,2023-10-01,2023-10-01,19.99
cust05684,22,2023-10-01,2023-10-01,19.99
cust05695,22,2023-10-01,2023-10-01,19.99
cust05696,22,2023-10-01,2023-10-01,19.99
cust05698,22,2023-10-01,2023-10-01,19.99
cust05706,22,2023-10-01,2023-10-01,19.99
cust05742,22,2023-02-01,2023-02-01,19.99
cust05744,22,2023-10-01,2023-10-01,19.99
cust05764,22,2023-10-01,2023-10-01,19.99
cust05768,22,2023-10-01,2023-10-01,19.99
cust05771,22,2023-10-01,2023-10-01,19.99
cust05779,22,2023-10-01,2023-10-01,19.99
cust05781,22,2023-10-01,2023-10-01,19.99
cust05818,22,2023-02-01,2023-02-01,10.0
cust05861,22,2023-10-01,2023-10-01,19.99
cust05870,22,2023-10-01,2023-10-01,19.99
cust05878,22,2023-10-01,2023-10-01,19.99
cust05910,22,2023-10-01,2023-10-01,19.99
cust05913,22,2023-10-01,2023-10-01,19.99
cust05942,22,2023-10-01,2023-10-01,19.99
cust05982,22,2023-10-01,2023-10-01,19.99
cust06052,22,2023-10-01,2023-10-01,19.99
cust06055,22,2023-10-01,2023-10-01,19.99
cust06057,22,2023-10-01,2023-10-01,19.99
cust06065,22,2023-10-01,2023-10-01,19.99
cust06098,22,2023-10-01,2023-10-01,39.0
cust06101,22,2023-10-01,2023-10-01,19.99
cust06110,22,2023-05-01,2023-05-01,39.0
cust06111,22,2023-10-01,2023-10-01,39.0
cust06119,22,2023-10-01,2023-10-01,19.99
